0 0 0 0 0 7.9 2782000000
1 1 1 1 1 7.1 963000000
2 2 2 2 2 6.8 880000000
3 3 3 3 3 8.5 1084000000
4 4 4 4 4 7.1 2068000000
5 5 5 5 5 6.6 284000000
6 6 6 6 6 6.2 890000000
7 7 7 7 7 7.8 591000000
8 8 8 8 5 7.5 1071000000	
9 9 9 9 9 7.5 934000000
10 10 10 10 5 6.9 873000000
11 11 11 11 5 6.1 391000000
12 12 12 2 12 6.7 586000000
1 1 1 1 1 7.3 1066000000
1 1 14 14 14 6.5 260000000
10 10 15 15 0 7.2 668000000
16 16 16 16 16 6.6 419000000
8 8 8 8 5 8.1 1519000000
18 1 18 18 1 6.7 1045000000
19 19 19 19 19 6.8 624000000
20 20 20 20 20 7.5 956000000
21 21 21 21 1 7.0 752000000
22 22 22 22 22 6.7 322000000
20 20 20 20 20 7.9 960000000
24 24 24 24 24 6.1 372000000
20 25 25 25 25 7.2 550000000
0 26 26 26 26 7.7 2185000000
27 8 8 27 5 8.2 1153000000
28 28 28 28 28 5.9 304000000
29 29 29 29 28 7.0 1670000000
2 30 30 2 2 7.8 1108000000
6 6 6 6 31 7.3 783000000
32 8 32 32 5 7.2 1215000000
33 1 9 33 24 6.5 1052000000
34 34 34 34 34 6.8 459000000
35 35 35 35 35 7.3 783000000
36 36 36 36 5 6.0 836000000
36 37 37 34 5 5.7 1104000000
6 38 38 6 24 6.4 493000000
21 21 21 39 0 6.7 708000000
40 40 40 40 5 6.8 400000000
41 41 25 41 41 6.3 559000000
42 42 42 42 5 5.6 231000000
43 43 43 43 35 8.3 1063000000
44 3 29 44 5 6.6 371000000
45 45 45 45 45 7.2 1500000000
12 46 46 46 46 7.0 540000000
11 47 16 34 34 8.0 747000000
48 48 48 48 5 7.8 67000000
11 49 49 49 20 6.3 193000000
