0 0 0 0 0 7.9
1 1 1 1 0 7.1
2 2 2 2 0 6.8
3 3 3 3 0 8.5
4 4 4 4 4 7.1
5 5 5 5 0 6.6
6 6 6 6 0 6.2
7 7 7 7 7 7.8
8 8 8 8 0 7.5
9 9 9 9 7 7.5
10 10 10 10 0 6.9
11 11 11 11 0 6.1
12 12 12 2 0 6.7
1 1 1 1 0 7.3
1 1 14 14 0 6.5
10 10 15 15 0 7.2
16 16 16 16 0 6.6
8 8 8 8 0 8.1
18 1 18 18 0 6.7
19 19 19 19 0 6.8
20 20 20 20 7 7.5
21 21 21 21 0 7.0
22 22 22 22 0 6.7
20 20 20 20 7 7.9
24 24 24 24 7 6.1
20 25 25 25 0 7.2
0 26 26 26 26 7.7
27 8 8 27 0 8.2
28 28 28 28 0 5.9
29 29 29 29 0 7.0
2 30 30 2 0 7.8
6 6 6 6 0 7.3
32 8 32 32 0 7.2
33 1 9 33 7 6.5
34 34 34 34 0 6.8
35 35 35 35 7 7.3
36 36 36 36 0 6.0
36 37 37 34 0 5.7
6 38 38 6 7 6.4
21 21 21 39 0 6.7
40 40 40 40 0 6.8
41 41 25 41 7 6.3
42 42 42 42 0 5.6
43 43 43 43 7 8.3
44 3 29 44 0 6.6
45 45 45 45 0 7.2
12 46 46 46 0 7.0
11 47 16 34 0 8.0
48 48 48 48 0 7.8
11 49 49 49 7 6.3
50 26 50 50 26 7.3
51 51 51 51 0 6.6
52 52 52 52 0 7.0
36 36 53 36 0 6.3
54 54 54 54 0 6.2
55 55 55 55 7 6.8
56 56 43 56 7 7.2
57 57 57 57 0 7.5
5 43 58 58 7 8.4
34 59 59 59 0 6.2
60 60 60 60 0 5.8
61 61 61 61 61 6.8
62 62 38 62 0 5.4
9 2 28 63 0 6.6
16 54 64 64 7 6.9
11 47 65 65 0 7.3
3 3 66 66 0 9.0
67 43 67 67 7 8.3
68 68 68 68 0 6.5
32 8 40 32 0 7.9
70 70 24 54 7 7.5
19 19 71 71 0 4.8
72 72 72 72 0 5.2
73 19 73 73 0 6.9
74 74 66 74 74 5.4
75 75 75 75 0 7.9
76 76 76 76 0 6.1
77 3 77 77 0 5.8
67 68 78 78 7 8.3
32 8 79 79 7 7.8
32 8 8 32 0 7.0
81 8 81 18 0 6.1
82 82 82 82 0 7.0
83 61 29 83 0 7.6
84 84 84 84 0 4.5
85 85 85 85 0 6.3
27 8 27 86 0 7.8
87 87 87 87 7 6.4
88 29 88 88 0 6.5
89 89 89 89 0 7.9
90 90 90 90 7 7.8
61 43 91 91 7 6.6
60 92 92 92 0 5.5
93 93 93 93 7 8.2
94 94 7 94 0 6.4
95 95 45 95 0 8.1
3 96 33 96 7 8.6
3 26 3 3 0 8.8
98 98 98 98 0 8.2
20 20 20 20 7 7.9
72 45 45 100 0 6.7
101 46 101 101 26 7.8
102 47 65 60 0 7.8
103 47 103 103 7 6.6
104 104 104 104 0 6.1
105 74 105 105 0 5.6
106 1 9 33 7 6.4
107 107 107 107 7 6.1
108 108 108 108 0 7.3
109 6 109 109 0 6.6
110 110 64 110 7 6.3
36 111 111 111 0 6.1
36 112 112 36 0 7.1
113 113 82 113 0 5.5
9 114 9 114 7 7.5
51 114 9 9 7 7.6
28 19 116 49 0 6.4
103 19 117 117 26 7.2
33 1 24 118 7 6.7
88 119 43 119 61 8.0
3 3 28 66 0 8.3
121 121 121 121 0 6.7
122 122 122 122 7 5.9
123 34 42 123 0 6.7
62 124 124 124 0 6.7
125 125 125 125 7 7.6
62 126 126 126 0 7.2
109 8 127 113 0 7.1
128 3 116 128 0 8.1
129 43 129 129 129 6.7
130 8 127 113 0 7.0
131 70 131 131 7 6.9
132 132 132 132 0 5.1
133 28 133 133 0 5.8
33 1 70 24 74 6.2
135 75 135 135 0 7.4
136 113 136 136 26 5.8
9 2 28 63 0 6.6
